NUMT,NUMCITIES,NUMCAPITALS,Performance
1,331,2,50.554
1,331,2,50.579
1,331,2,50.659
1,331,2,50.931
1,331,2,50.511
1,331,2,50.849
1,331,2,50.758
1,331,2,50.86
1,331,2,50.814
1,331,2,50.982
1,331,2,51.009
1,331,2,50.966
1,331,2,51.024
1,331,2,50.927
1,331,2,50.822
1,331,2,50.597
1,331,2,50.755
1,331,2,50.993
1,331,2,50.673
1,331,2,50.935
1,331,2,50.884
1,331,2,50.893
1,331,2,50.911
1,331,2,50.862
1,331,2,50.729
1,331,2,50.807
1,331,2,50.993
1,331,2,50.653
1,331,2,50.798
1,331,2,50.413
1,331,3,46.647
1,331,3,41.259
1,331,3,58.175
1,331,3,57.014
1,331,3,56.928
1,331,3,57.949
1,331,3,57.671
1,331,3,58.01
1,331,3,58.127
1,331,3,57.949
1,331,3,56.899
1,331,3,57.9
1,331,3,58.11
1,331,3,58.105
1,331,3,57.993
1,331,3,57.905
1,331,3,57.062
1,331,3,57.89
1,331,3,57.961
1,331,3,57.781
1,331,3,57.667
1,331,3,58.039
1,331,3,58.122
1,331,3,57.908
1,331,3,57.872
1,331,3,58.1
1,331,3,57.788
1,331,3,56.955
1,331,3,57.072
1,331,3,57.927
1,331,4,64.708
1,331,4,64.743
1,331,4,64.702
1,331,4,64.521
1,331,4,64.698
1,331,4,64.664
1,331,4,64.259
1,331,4,64.605
1,331,4,64.677
1,331,4,64.523
1,331,4,64.494
1,331,4,64.175
1,331,4,64.159
1,331,4,64.4
1,331,4,64.513
1,331,4,64.215
1,331,4,64.362
1,331,4,64.737
1,331,4,64.686
1,331,4,64.721
1,331,4,64.823
1,331,4,64.687
1,331,4,64.523
1,331,4,64.664
1,331,4,64.779
1,331,4,54.786
1,331,4,64.58
1,331,4,64.557
1,331,4,64.785
1,331,4,64.513
1,331,5,66.43
1,331,5,39.8
1,331,5,66.511
1,331,5,67.027
1,331,5,66.646
1,331,5,66.283
1,331,5,66.623
1,331,5,66.339
1,331,5,66.113
1,331,5,66.24
1,331,5,66.322
1,331,5,66.32
1,331,5,66.242
1,331,5,66.56
1,331,5,66.245
1,331,5,66.157
1,331,5,66.408
1,331,5,39.699
1,331,5,55.065
1,331,5,66.293
1,331,5,66.356
1,331,5,66.753
1,331,5,66.249
1,331,5,66.21
1,331,5,66.301
1,331,5,66.15
1,331,5,66.378
1,331,5,66.573
1,331,5,57.794
1,331,5,66.448
1,331,10,80.176
1,331,10,79.658
1,331,10,80.048
1,331,10,74.011
1,331,10,79.725
1,331,10,79.797
1,331,10,79.74
